Título,Descripción
Podemos Euskadi se reinventará en un congreso político para dejar de ser «oposición permanente»,La nueva dirección buscará «recuperar la ilusión» en un proceso abierto a la militancia que debe marcar un «punto de inflexión» tras el «batacazo» de 2024
Ya a la venta la camiseta oficial de la final de la Europa League en Bilbao,Los aficionados pueden adquirir la prenda por 73 euros
Desalojan un polígono en Sevilla por el grave incendio declarado en una planta de químicos,Las autoridades recomiendan a la población de la zona cerrar puertas y ventanas de las viviendas para impedir la entrada del humo
Así afectará a Bilbao la final: amplio operativo de seguridad e importantes cortes de tráfico,"Desde el lunes 19 se producirán diferentes alteraciones para la ciudadanía en numerosos ámbitos, desde el tráfico a los aparcamientos, pasando por la recogida de basura"
"Lotería, donaciones y los ajustes del IVA con Agencia Tributaria, elevan en 400 millones la recaudación en Bizkaia","El empleo sigue sosteniendo un sólido crecimiento que firman hasta abril unos ingresos por impuestos de 3.843 millones, un 11,4% más que el año pasado"
Pradales reclama mejores sueldos para los jóvenes,El lehendakari apela al diálogo entre los agentes sociales «sin líneas rojas» y «sin caer en trincheras ni maniqueismos»
Bildu amenaza con abandonar el pacto de salud si Osakidetza sigue privatizando procesos,La formación soberanista reclama un compromiso por parte del Gobierno vasco para reforzar el sistema público de salud
El Supremo rechaza el intento de Koldo de frenar la investigación de la UCO sobre los supuestos amaños de obra pública,El instructor desestima el recurso del exasesor de Ábalos e insiste en que esta causa ya no solo versa sobre la compra de mascarillas
Konfekoop reivindica el «arraigo» de las cooperativas y pide «más relevancia» para ellas,Rosa Lavín aplaude el crecimiento del empleo del 9% en los últimos cuatro años entre sus socios y presenta un nuevo plan estratégico para «ganar influencia» en las instituciones
El programa de la 'fan zone' de El Arenal,Bilbaínos e ingleses están invitados a disfrutar del ambiente de la final en un espacio festivo que abrirá sus puertas el martes día 20 y se clausurará tres horas antes del partido en San Mamés
Amezola y el parque Etxebarria se preparan,Los vecinos de estas dos zonas de la capital vizcaína se enfrentarán estos días a cortes de tráfico y ocupaciones de la calzada
«Todos los aficionados ingleses tendrán libertad para desplazarse por Bilbao»,El consejero de Seguridad señala que el principal objetivo del férreo plan de seguridad por la final de la Europa League en Bilbao entre el Tottenham y el Manchester United es que ambas aficiones no coincidan en el entorno de San Mamés
"Los hinchas ingleses, ante los precios: «¿En Bilbao es seguro dormir en la calle?»",En sus foros se combinan los planes de viaje más disparatados y las crisis de impotencia ante los precios: «Esto debería ser ilegal»
"El Gobierno confirma que el apagón se originó en Granada, Badajoz y Sevilla",La ministra Sara Aagesen pone el foco en las oscilaciones que ocurrieron media hora antes de la desconexión total y descarta que se debiera a un problema de cobertura o a un ciberataque
Una estafa que daña la imagen de Bilbao,La desorbitada subida de precios por la final es una estafa que daña la imagen de Bilbao
El consejero de Industria viaja a Japón y refuerza los contactos para una salida a la planta de Bridgestone,"Jauregi se reúne con el viceministro de finanzas del gobierno nipón, responsable de la inversión exterior de su país"
"El ejército intenta matar al nuevo líder de Hamás, Muhammad Sinwar, en un túnel de Gaza",Los militares indagan si el hermano menor del asesinado Yahya Sinwar ha podido sobrevivir a un intenso bombardeo después de que su presencia fuera fijada en una 'sala de guerra' en Khan Jounis
Los expulsados de Old Trafford a Uriarte: «Tiraron del pelo a niños e insultaron a un señor de 80 años»,"La mitad de los más de cien aficionados afectados se constituyen en una asociación, piden amparo al club y se muestran molestos con el consejero de Seguridad"
Rahm persigue su tercer 'major': esto es lo que debes saber para no perderte la participación del vizcaíno,"El vizcaíno afronta en Quail Hollow (Charlotte, Carolina del Norte) su major número 34"
Iker Larrazabal: «He soñado muchas veces que jugaba la final»,"El delantero de Olabezar tiene las manos recuperadas «al 100%», para medirse el domingo a Artola, al que le motiva «jugar en el Ogueta»"
Los bares y comercios de los anillos de seguridad podrán abrir el día de la final de la Europa League,Los hosteleros de la zona cercana a San Mamés habían protestado por los cierres de sus negocios en partidos internacionales
Un sindicato censura la expulsión de Arkaute de una aspirante a ertzaina que denunció acoso,La central asegura que su calificación como «no apta» se debe a las malas notas en áreas «subjetivas» como la «aptitud» y el sociograma
El Gobierno se abre a cambiar el decreto de universidades y aplaca la disputa PNV-PSE,La ministra Morant se compromete a que el proyecto no invada las competencias vascas y apela al «diálogo» para llegar a un acuerdo
Bilbao sigue engordando su 'hucha' y alcanza los 171 millones,"Durante 2024 la cifra ha aumentado un 22%, aunque no todo ese dinero está completamente disponible"
Rusia confirma su presencia este jueves en Estambul para negociar con Ucrania pero sigue sin desvelar si acudirá Putin,El portavoz del Kremlin señala que el presidente «no ha dado todavía órdenes de anunciar quién irá» a la ciudad turca pero avanza que la delegación abordará «cuestiones políticas y técnicas»
Nueve españoles retenidos en un hotel de Trípoli debido a los combates entre guerrillas,"El grupo llegó el lunes en misión comercial a la capital libia, donde el asesinato del líder de una milicia ha desatado intensos combates entre facciones rivales"
El seleccionador de Marruecos siguió a Maroan en Anoeta y le incluye en su prelista,Sancet está entre los 50 jugadores de los que saldrá la convocatoria de España para luchar por la Liga de Naciones
EE UU y Siria terminan con 25 años de aislamiento,"Donald Trump se reúne con el nuevo presidente del país, Ahmed al-Shara, por el que Washington llegó a ofrecer una recompensa de casi diez millones de dólares"
Telefónica pierde 1.304 millones hasta marzo por la venta de Argentina y Perú,"Los primeros resultados con Marc Murtra al frente reflejan unos ingresos un 9% inferiores a los del primer trimestre de 2024, hasta los 9.221 millones, pero confirman un dividendo de 0,30 por acción"
La primavera del euskera florece durante 11 días,"Euskaraldia arranca mañana su cuarta edición, la primera que se celebra en mayo, con un llamamiento a reforzar el uso del idioma en las calles"
Bruselas asegura que la simplificación administrativa de la PAC permitirá ahorrar hasta 1.800 millones de euros al año,La Comisión Europea presenta un paquete para reducir la burocracia a los agricultores y ganaderos y darles más flexibilidad
El casting de 'OT' llega a Bilbao en busca de talento,"Cientos de personas participan en las audiciones del programa, que en septiembre regresará a Prime"
Matan a tiros a una 'influencer' de 23 años cuando emitía un directo en redes,Los hechos ocurrieron cuando la modelo respondía a sus seguidores a través de las redes
La Justicia europea da la razón a la periodista que solicitó los mensajes que intercambiaron Von der Leyen y el presidente de Pfizer,La Comisión negó el acceso a estos documentos relativos a la compra de 1.800 millones de dosis de la UE a la compañía farmacéutica en 2021
"Los hermanos Menéndez, condenados a cadena perpetua, podrían salir en libertad condicional","Un juez rebaja la sentencia a 50 años de cárcel, lo que abre la posibilidad a que abandonen la prisión"
La millonaria Champions que espera al Athletic,"Está a tres puntos de certificar su presencia en la élite europea, donde una actuación discreta daría más de 40 millones de euros"
La UE ultima un nuevo paquete de sanciones a Rusia en vísperas de la posible reunión entre Kiev y Moscú,Los embajadores de los Veintisiete amplían el cerco a la flota fantasma de Putin e incluyen nuevas entidades e individuos a la lista negra europea
Las agresiones al colectivo LGTBI se han duplicado en solo un año,"Cuatro de cada diez gais, lesbianas, bisexuales y trans, más de dos millones de españoles, han sufrido ataques, acoso o discriminación"
"Óscar Puente, sobre su bebé: «El muy cabrón dijo 'si nazco en Madrid, te voy a dejar claro que soy de Pucela'»","El tercer hijo del ministro de Transportes y exalcalde nació el día del patrón de Valladolid en el Gregorio Marañón y pesó 3,1 kilos"
Unos encapuchados intentan secuestrar a plena luz del día en París a la hija de un empresario,Los individuos no pudieron llevar a cabo su propósito ante la resistencia de la víctima y por la ayuda de su pareja y algunos transeúntes
El Gobierno convoca la Conferencia de Presidentes el 6 de junio en Barcelona,"La última, celebrada en Santander el pasado diciembre para hablar del reparto de menores migrantes y vivienda, acabó sin acuerdo y opacada por el rechazo de la mayoría de autonomías a la «financiación singular» de Cataluña"
El exciclista Rohan Dennis evita entrar en la cárcel tras atropellar y matar a su mujer,El excorredor se compromete a una fianza de buena conducta de dos años como parte de la pena
El Gobierno vasco respalda a los hoteleros: «Son libres de fijar las tarifas que quieran»,La OCU denuncia la «pésima imagen» que da Bilbao con precios «tan abusivos» y pide a los bares que «no cobren las cervezas a 10 euros»
Un camarero detenido por presunto tráfico de droga en un bar de Las Arenas,"La Unidad de Investigación de la Policía Local puso en marcha la operación, la segunda este mes, después detectar movimientos sospechosos"
"«Los hosteleros bilbaínos se burlan de nosotros», critican los seguidores ingleses","«Estos precios dejan solos a aquellos que tienen la suerte de permitírselo», protestan los hinchas del Tottenham y del Manchester United"
80.000 británicos colonizarán Bilbao por la final europea con noches de hotel a más de 5.000 euros,Ningún evento en Bilbao ha tenido tanto tirón entre extranjeros y el precio del alquiler de pisos y habitaciones se dispara superando los 9.900 euros
Melody sube como la espuma en las apuestas para ganar Eurovisión,El cambio de la puesta en escena de 'Esa diva' permite soñar a España con un gran puesto en la final de este sábado
"El aceite de oliva se desploma un 40% aunque huevos, café y chocolate siguen disparados","Los alimentos acumulan una subida del 25% desde que estalló la guerra de Ucrania, lo que tensiona los presupuestos familiares, aunque la tasa de inflación general se moderó en abril al 2,2%"
"El Gobierno vasco revela que hubo «8 bilbaínos» detenidos en Manchester, «pese a no registrarse incidentes»",Los incidentes del día de la Roma en el entorno de San Mamés preocupan de cara a la final de la Europa League
El comunicado del hijo de Frank Cuesta que pone en duda el testimonio de su padre: «No lo aguanto más...»,"Zape, que trabaja junto al 'showman', sale en su defensa: «Llevamos dos meses bajo acoso»"
Giro del tiempo para este fin de semana en Bizkaia: sol y máximas que se dispararán hasta los 24 grados,"La mitad sur del interior de la provincia se encuentra en situación de alerta por tormentas que pueden ir acompañadas de granizo, pero a partir del viernes la situación mejorará"
Un alcalde de un pueblo de Lleida propone expulsar a los «colonos invasores y parasíticos»,Un mensaje cargado de contenido xenófobo
"La dura historia de la familia Berrocal: «Era un hombre maravilloso, pero un mujeriego»",Vicky Martín Berrocal y su madre Victoria acudieron a 'El Hormiguero' para presentar la docuserie que cuenta su vida
Preocupación entre los vecinos de Otxarkoaga: arden dos coches en dos días,Un segundo vehículo se incendió este martes por la tarde en la calle Txotena
Feijóo espeta a Sánchez «váyase» y el presidente cuestiona su liderazgo en el PP,El líder de la oposición recurre a los wasaps del jefe del Ejecutivo con Ábalos y le insta a «ahorrarse el bochorno» mientras el socialista le acusa de entretenerse con «casquería» y augura otro fracaso en 2027
Así ha sido la actuación de Melody en la primera semifinal,La cantante española ha actuado este martes en calidad de invitada al formar España parte del 'Big five'
Una Copa llena de recuerdos en EL CORREO,Una delegación del Surne Bilbao Basket visita las instalaciones del periódico con el título de la Europe Cup como protagonista
"'La, la, la'","Una canción compuesta por el Dúo Dinámico que iba a cantar Serrat y que, ante la insistencia de hacerlo en catalán, recayó en Massiel"
"Fallece José Mujica a los 89 años, el presidente 'más pobre' del mundo","Exguerrillero de Los Tupamaros y símbolo de la izquierda latinoamericana, el hombre que lideró Uruguay entre 2010 y 2015 tuvo una vida marcada por su estancia en prisión y la defensa de los más vulnerables"
Cannes homenajea a De Niro: «Trump está intentando salvar a América y salvar su culo»,Los discursos feministas y en contra de Donald Trump marcan el acto inaugural del certamen en el que entregan la Palma de Oro Honorífica a la estrella estadounidense
Crean unas gafas de sol 'made in Bilbao' que solo se pueden comprar este mes,"El óptico Imanol Carretero se ha unido a Sara Campillo e Ibai León, creadores de la firma bilbaína de moda Atakontu, para fabricar una montura única y de km0 que «favorece a casi todo tipo de caras»"
¿Puedo negarme a presidir la comunidad?... Y otras dudas sobre conflictos vecinales,La convivencia en un edificio no es sencilla y muchas disputas pueden terminar en los tribunales si no se saben atajar a tiempo
Eurovisión ya tiene sus diez primeros finalistas en una gala donde Melody arrasa como un huracán,"Eslovenia, Bélgica, Azerbayán, Croacia y Chipre se quedaron en el camino al no lograr los votos del público en la primera semifinal del certamen de la canción europea"
¿Cómo nadie vio venir el desastre de 'La familia de la tele'?,"Los trabajadores ya califican de «telebasura pura y dura» el programa, cuya polémica se tratará esta semana en el consejo intersector"
El metro cerrará a cal y canto su estación de San Mamés el día de la final desde las tres,"Los trenes no pararán por primera vez en una estación, por razones de seguridad: los usuarios tendrán que desplazarse a Indautxu, Moyua o Deusto"
«Acudí a la Policía de Bilbao al ver que llevaban a Maite a un notario»,El responsable de una inmobiliaria de Castaños denunció al abogado y a su pareja por quedarse con los bienes y vaciar la cuenta de una anciana
Nuevo robo en Portugalete: «Lo único que nos queda es la vergüenza pública de los ladrones»,"Nuevo robo de madrugada en un bar de Portugalete. «Se han llevado hasta los datáfonos», lamenta la dueña"
El Athletic se encontrará con un Getafe en caída libre tras cinco derrotas seguidas,Bordalás iguala su peor registro como técnico azulón con un calendario complicado por la salvación en las últimas tres jornadas
«Berlín es una lección de historia del urbanismo contemporáneo»,Ibon Zubiaur expondrá las vicisitudes experimentadas por la capital alemana en un encuentro del Aula de EL CORREO
Urrearen 'rally' geldiezina,Ziurgabetasun geopolitikoak eta muga-zergek metalaren kotizazioa 3.500 dolarretik gora igo dute
Adiós a la sorpresa de los gastos de gestión en las entradas,"El Gobierno quiere introducir en la ley de Defensa de los Consumidores y Usuarios la obligatoriedad de incluir este concepto en el precio final, y no como un añadido en el último paso del proceso"
Esto es lo que la Hacienda vizcaína te quitará de tu nómina a partir de julio,"La orden foral, que busca aliviar a las rentas más bajas, entrará en vigor a partir del segundo semestre"
"Jordi González, tres semanas en coma a causa de una bacteria: «Ha estado a punto de morir»",La revista 'Semana' revela que el presentador catalán enfermó durante un viaje a Colombia en enero
Así murió José Hilario: la mala idea de colgarse de la trasera de un camión,"La prensa local hablaba de porteros que mordían a los niños, decisiones trágicas de madres solteras, bandas de 'apaches' con bonitos apodos, robos de doblones y diversos hallazgos de restos humanos"
La hamburguesería de Las Merindades que conquista a Nico Williams,El futbolista dell Athletic acudió a un céntrico local de Villarcayo
De impresionar a Ana Obregón con 10 años a Eurovisión: así fue la primera aparición televisiva de Melody,La cantante andaluza apareció en una gala de TVE en 2001
"Ruta gastronómica: desayuno, comida y cena por Las Arenas","Desayunos con historia, tortillas de premio, recetas de siempre y sabores de Italia componen esta ruta gastronómica por el corazón urbano de Getxo"
"Ion Aramendi y María Amores llevan a su hijo mayor a su primer concierto: «Flipó mucho, pero yo más»","El matrimonio ha disfrutado del show de Dua Lipa en Madrid junto a Ion, el mayor de sus tres hijos"
Cómo lidiar con los mediocres que te complican la vida,La norma básica: nada de choques directos
